id	cluster	es	esMirror	en	enMirror	notaEn	notaEs
pron-core-001	A	¿Qué piensas?	keh PYEN-sahs	What do you think	wuht-duh-yuh-THIHNGK	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Ritmo + schwa + linking en frase ultra frecuente.
pron-core-002	A	Es una opción.	es OO-nah op-see-ON	It is an option.	ih-tih-zun-OP-shun	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Encadena it-is-an con reduccin natural.
pron-core-003	A	Puedo hacerlo hoy.	PWEH-doh ah-SEHR-loh oy	I can do it today.	ai-kun-DOO-it tuh-DAY	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Schwa en can/to y golpe en do/day.
pron-core-004	A	Estamos apurados.	es-TAH-mohs ah-poo-RAH-dohs	We are in a hurry.	wee-ur-in-uh-HUR-ee	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Reduce are/a sin perder claridad.
pron-core-005	A	Es mejor idea.	es meh-HOR ee-DEH-ah	This is a better idea.	dhis-iz-uh-BEH-rur-ai-DEE-uh	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Reduccin de funcin + ritmo fuerte/dbil.
pron-core-006	A	¿Puedes repetirlo?	PWEH-dehs reh-peh-TEER-loh	Can you say it again	kun-yuh-SAY-it-uh-GEN	En ingl?s, marca el ritmo fuerte/d?bil y reduce vocales en palabras no acentuadas.	Schwas mltiples con intencin comunicativa.
pron-core-007	B	Esto es difícil.	ES-toh es dee-FEE-seel	This is difficult.	dhis-iz-DIH-fi-kult	Mant?n la i corta y relajada; no la alargues como i larga.	Short i relajada en this/is/difficult.
pron-core-008	B	Lo arreglo rápido.	loh ah-RREH-gloh RRAH-pee-doh	I will fix it quickly.	ai-wil-FIHK-sit-KWIHK-lee	Mant?n la i corta y relajada; no la alargues como i larga.	Mantn // corta en will/fix/it/quickly.
pron-core-009	B	Si es simple, hazlo.	see es SEEM-pleh AHS-loh	If it is simple, do it.	if-it-iz-SIHM-pul-do-it	Mant?n la i corta y relajada; no la alargues como i larga.	No alargues // en if/it/is/simple.
pron-core-010	B	Ese detalle importa.	EH-seh deh-TAH-yeh eem-POR-tah	This little detail matters.	dhis LIH-rul DEE-tail MA-rurz	Mant?n la i corta y relajada; no la alargues como i larga.	Contraste // breve vs vocales largas vecinas.
pron-core-011	B	Aún necesito esto.	a-OON neh-seh-SEE-toh ES-toh	We still need this.	wee-stihl-NEED-dhis	Mant?n la i corta y relajada; no la alargues como i larga.	Short i en still/this con cierre rpido.
pron-core-012	B	Piénsalo bien.	PYEN-sah-loh byen	Think it through.	THIHNGK-it-THROO	Mant?n la i corta y relajada; no la alargues como i larga.	Combinacin // + TH sorda.
pron-core-013	C	Necesitamos verlo.	neh-seh-see-TAH-mohs VEHR-loh	We need to see it.	wee-NEED-tuh-SEE-it	Sost?n la i larga con tensi?n y duraci?n donde corresponda.	Long i /i/ en we/need/see.
pron-core-014	C	Ella sigue leyendo.	EH-yah SEE-geh leh-YEN-doh	She keeps reading.	shee-KEEPS-REE-ding	Sost?n la i larga con tensi?n y duraci?n donde corresponda.	Sostn /i/ en she/keeps/read.
pron-core-015	C	Por favor, listo.	por fah-BOR LEES-toh	Please be ready.	pleez-bee-REH-dee	Sost?n la i larga con tensi?n y duraci?n donde corresponda.	Cadena de i larga en please/be.
pron-core-016	C	Parece muy calmado.	pah-REH-seh mooy kal-MAH-doh	He seems really calm.	hee-SEEMZ-REE-lee-kahm	Sost?n la i larga con tensi?n y duraci?n donde corresponda.	Long i en he/seems/really.
pron-core-017	C	Reuniones sencillas.	reh-oo-NYOH-nehs sen-SEE-yahs	Team meetings feel easy.	teem-MEE-ringz-feel-EE-zee	Sost?n la i larga con tensi?n y duraci?n donde corresponda.	i larga dominante con flap opcional en meeting.
pron-core-018	C	Tres llaves limpias.	trehs YAH-behs LEEM-pyahs	These three keys are clean.	dheez-three-KEEZ-ur-KLEEN	Sost?n la i larga con tensi?n y duraci?n donde corresponda.	i larga en these/three/keys/clean.
pron-core-019	D	Ese plan fue malo.	EH-seh plan fweh MAH-loh	That plan was bad.	dhaat-PLAN-wuz-BAAD	Abre m?s la mand?bula para la a abierta; evita neutralizarla.	Entrena // abierta en that/plan/bad.
pron-core-020	D	¿Puedo agregar eso?	PWEH-doh ah-greh-GAR EH-soh	Can I add that	kaan-ai-AAD-dhaat	Abre m?s la mand?bula para la a abierta; evita neutralizarla.	Apertura total en can/add/that.
pron-core-021	D	Ten plan de respaldo.	ten plan deh rehs-PAL-doh	Have a backup plan.	haav-uh-BAK-up-plan	Abre m?s la mand?bula para la a abierta; evita neutralizarla.	Mantn // en have/back/plan.
pron-core-022	D	Por fin pasó eso.	por feen pah-SOH EH-soh	At last, that happened.	aat-LAST-dhat-HAA-pund	Abre m?s la mand?bula para la a abierta; evita neutralizarla.	Triple // con ritmo marcado.
pron-core-023	D	Y eso es práctico.	ee EH-soh es PRAK-tee-koh	And that is practical.	aand-dhat-iz-PRAK-tih-kul	Abre m?s la mand?bula para la a abierta; evita neutralizarla.	and/that/practical con boca abierta.
pron-core-024	D	Puedo manejar eso.	PWEH-doh mah-neh-HAR EH-soh	I can manage that.	ai-kan-MA-nij-dhat	Abre m?s la mand?bula para la a abierta; evita neutralizarla.	No reemplaces // por /a/ plana.
pron-core-025	E	Amo este país.	AH-moh ES-teh pah-EES	I love this country.	ai-LUHV-dhis-KUHN-tree	Usa una vocal central corta y relajada, sin tensar la boca.	Golpe // en love/country.
pron-core-026	E	Sube con algo.	SOO-beh kon AL-goh	Come up with something.	kuhm-UP-with-SUHM-thing	Usa una vocal central corta y relajada, sin tensar la boca.	// repetida en come/up/some.
pron-core-027	E	Pero debemos enfocarnos.	PEH-roh deh-BEH-mohs en-foh-KAR-nohs	But we must focus.	buht-wee-MUHST-FOH-kus	Usa una vocal central corta y relajada, sin tensar la boca.	but/must con vocal central oscura.
pron-core-028	E	Es suficiente.	es soo-fee-see-EN-teh	Enough is enough.	ih-NUHF-iz-ih-NUHF	Usa una vocal central corta y relajada, sin tensar la boca.	Ancla auditiva de //.
pron-core-029	E	El dinero no llega rápido.	el dee-NEH-roh noh YEH-gah RRAH-pee-doh	Money does not come fast.	MUH-nee-duhz-not-kuhm-fast	Usa una vocal central corta y relajada, sin tensar la boca.	money/does/come en // consistente.
pron-core-030	E	Un toque basta.	oon TOH-keh BAS-tah	One touch is enough.	wuhn-TUHCH-iz-ih-NUHF	Usa una vocal central corta y relajada, sin tensar la boca.	// central en one/touch/enough.
pron-core-031	F	Gracias por esto.	GRAH-syahs por ES-toh	Thank you for this.	THAANK-yuh-fur-dhis	Diferencia TH sonora y TH sorda con posici?n de lengua y vibraci?n.	Alterna TH sorda en thank y sonora en this.
pron-core-032	F	Ellos creen eso.	EH-yohs KREH-en EH-soh	They think that too.	dhey-THIHNGK-dhat-TOO	Diferencia TH sonora y TH sorda con posici?n de lengua y vibraci?n.	// en they/that; // en think.
pron-core-033	F	El método es claro.	el MEH-toh-doh es KLAH-roh	The method is clear.	dhuh-MEH-thud-iz-KLEER	Diferencia TH sonora y TH sorda con posici?n de lengua y vibraci?n.	the // + method //.
pron-core-034	F	Esta teoría funciona.	ES-tah teh-oh-REE-ah foon-see-OH-nah	This theory works.	dhis-THEE-uh-ree-WURKS	Diferencia TH sonora y TH sorda con posici?n de lengua y vibraci?n.	Combinacin this/theory con contraste TH.
pron-core-035	F	¿Ese es el punto?	EH-seh es el POON-toh	Is that the thing	iz-dhat-dhuh-THIHNG	Diferencia TH sonora y TH sorda con posici?n de lengua y vibraci?n.	Tres TH en secuencia controlada.
pron-core-036	F	Por este camino.	por ES-teh kah-MEE-noh	Through this path.	THROO-dhis-PATH	Diferencia TH sonora y TH sorda con posici?n de lengua y vibraci?n.	TH inicial y final en una sola cadena.
pron-core-037	G	Realmente prefiero esto.	rreh-AHL-men-teh preh-fee-EH-roh ES-toh	I really prefer this.	ai-REE-lee-prih-FUR-dhis	Haz la R inglesa sin vibrar ni golpear; lengua atr?s sin tocar el paladar.	R inglesa en really/prefer.
pron-core-038	G	Prueba otra ruta.	PRWEH-bah OH-trah ROO-tah	Try a different route.	trai-uh-DIH-frunt-ROOT	Haz la R inglesa sin vibrar ni golpear; lengua atr?s sin tocar el paladar.	R no vibrante en try/route.
pron-core-039	G	Gran trabajo en eso.	gran trah-BAH-hoh en EH-soh	Great work on that.	grayt-WURK-on-dhat	Haz la R inglesa sin vibrar ni golpear; lengua atr?s sin tocar el paladar.	R oscura en great/work.
pron-core-040	G	Nuestro reporte está listo.	NWES-troh rreh-POR-teh es-TAH LEES-toh	Our report is ready.	aur-rih-PORT-iz-REH-dee	Haz la R inglesa sin vibrar ni golpear; lengua atr?s sin tocar el paladar.	R al inicio y en slaba tnica.
pron-core-041	G	El mundo cambia.	el MOON-doh KAHM-byah	The world is changing.	dhuh-WURLD-iz-CHAYN-jing	Haz la R inglesa sin vibrar ni golpear; lengua atr?s sin tocar el paladar.	Secuencia difcil world con // + /l/.
pron-core-042	G	Corrige el error.	koh-RREE-heh el eh-RROR	Correct the error.	kuh-REKT-dhi-ER-rur	Haz la R inglesa sin vibrar ni golpear; lengua atr?s sin tocar el paladar.	R flotante en correct/error.
pron-core-043	H	Siempre está ocupado.	SYEM-preh es-TAH oh-koo-PAH-doh	He is always busy.	hee-iz-AWL-wayz-BIH-zee	Mant?n la z sonora con vibraci?n, sobre todo en terminaciones frecuentes.	Z sonora en is/always/busy.
pron-core-044	H	Estos días pasan rápido.	ES-tohs DEE-ahs PAH-sahn RRAH-pee-doh	These days go fast.	dheez-dayz-GOW-fast	Mant?n la z sonora con vibraci?n, sobre todo en terminaciones frecuentes.	Z final en these/days/goes implcito.
pron-core-045	H	Porque es fácil.	POR-keh es FAH-seel	Because it is easy.	bih-KOZ-it-iz-EE-zee	Mant?n la z sonora con vibraci?n, sobre todo en terminaciones frecuentes.	because/is/easy con zumbido.
pron-core-046	H	¿Suena bien eso?	SWEH-nah byen EH-soh	Does this sound right	duhz-dhis-SOWND-rayt	Mant?n la z sonora con vibraci?n, sobre todo en terminaciones frecuentes.	does con /z/ claro.
pron-core-047	H	Usa esos ejemplos.	OO-sah EH-sohs eh-HEM-plohs	Use those examples.	yooz-dhowz-ig-ZAM-pulz	Mant?n la z sonora con vibraci?n, sobre todo en terminaciones frecuentes.	/z/ en use/those/examples.
pron-core-048	H	Su voz fue clara.	soo BOHS fweh KLAH-rah	His voice was clear.	hiz-VOYS-wuz-KLEER	Mant?n la z sonora con vibraci?n, sobre todo en terminaciones frecuentes.	his/was con /z/ sonoro.
pron-core-049	I	Versión muy vívida.	ber-see-ON mooy BEE-bee-dah	Very vivid version.	VEH-ree-VIH-vid-VUR-zhun	Para v, labio inferior con dientes superiores; no la mezcles con b.	/v/ constante en very/vivid/version.
pron-core-050	I	Tenemos cinco videos.	teh-NEH-mohs SEEN-koh BEE-deh-ohs	We have five videos.	wee-haav-faiv-VIH-dee-ohz	Para v, labio inferior con dientes superiores; no la mezcles con b.	/v/ en have/five/videos.
pron-core-051	I	Muévete despacio.	MWEH-beh-teh dehs-PAH-syoh	Move over very slowly.	moov-OH-vur-VEH-ree-SLOW-lee	Para v, labio inferior con dientes superiores; no la mezcles con b.	move/over/very con labio-diente.
pron-core-052	I	Dame ese valor.	DAH-meh EH-seh bah-LOR	Give me that value.	gihv-mee-dhat-VAL-yoo	Para v, labio inferior con dientes superiores; no la mezcles con b.	give/value con /v/ clara.
pron-core-053	I	Vive y ama aprender.	BEE-beh ee AH-mah ah-pren-DEHR	Live and love learning.	lihv-an-luhv-LUR-ning	Para v, labio inferior con dientes superiores; no la mezcles con b.	live/love con /v/ en cadena.
pron-core-054	I	Cada semana revisamos.	KAH-dah seh-MAH-nah rreh-bee-SAH-mohs	Every week we review.	EV-ree-week-wee-rih-VYOO	Para v, labio inferior con dientes superiores; no la mezcles con b.	every/review con /v/ estable.
pron-core-055	J	Mejor tarde que nunca.	meh-HOR TAR-deh keh NOON-kah	Better later than never.	BEH-rur-LAY-rur-dhan-NEH-vur	Aplica flap T y terminaciones -ed correctas para sonar natural.	Flap T en better/later.
pron-core-056	J	El agua está más tibia.	el AH-gwah es-TAH mahs TEE-byah	Water is getting warmer.	WAW-rur-iz-GEH-ring-WOR-mur	Aplica flap T y terminaciones -ed correctas para sonar natural.	Flap T en water/getting.
pron-core-057	J	Quería preguntar.	keh-REE-ah preh-goon-TAR	I wanted to ask.	ai-WAHN-tid-tuh-AASK	Aplica flap T y terminaciones -ed correctas para sonar natural.	-ed /d/ en wanted.
pron-core-058	J	Ellos lo usaron bien.	EH-yohs loh oo-SAH-rohn byen	They used it well.	dhey-YOOZD-it-WEHL	Aplica flap T y terminaciones -ed correctas para sonar natural.	-ed /d/ en used.
pron-core-059	J	Nos detuvimos y esperamos.	nohs deh-too-BEE-mohs ee es-peh-RAH-mohs	We stopped and waited.	wee-STAHPT-an-WAY-rid	Aplica flap T y terminaciones -ed correctas para sonar natural.	-ed /t/ en stopped y flap en waited.
pron-core-060	J	Edité el título.	eh-deh-TEH el TEE-too-loh	I edited the title.	ai-EH-duh-rid-dhuh-TAI-rul	Aplica flap T y terminaciones -ed correctas para sonar natural.	Flap T + -ed en edited/title.
